c_report_date,c_fd_code,c_type1_code,c_type1_name,c_type2_code,c_type2_name,c_updatetime
2025-12-31,000001,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000003,002,固收加基金,002001,可转债基金,2026-03-23 03:00:06.638
2025-12-31,000004,002,固收加基金,002001,可转债基金,2026-03-23 03:00:06.638
2025-12-31,000005,003,债券型基金,003004,债券增强型基金,2026-03-23 03:00:06.638
2025-12-31,000006,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000008,001,权益基金,001003,被动指数型基金,2026-03-23 03:00:06.638
2025-12-31,000009,008,货币型基金,008001,传统货币型基金,2026-03-23 03:00:06.638
2025-12-31,000010,008,货币型基金,008001,传统货币型基金,2026-03-23 03:00:06.638
2025-12-31,000011,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000013,008,货币型基金,008001,传统货币型基金,2026-03-23 03:00:06.638
2025-12-31,000014,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000015,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000016,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000017,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000020,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000021,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000024,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000025,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000028,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000029,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000030,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000031,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000032,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000033,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000037,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000039,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000042,001,权益基金,001002,指数增强型基金,2026-03-23 03:00:06.638
2025-12-31,000045,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000046,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000047,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000048,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000051,001,权益基金,001003,被动指数型基金,2026-03-23 03:00:06.638
2025-12-31,000053,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000054,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000056,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000057,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000058,002,固收加基金,002004,灵活配置型基金,2026-03-23 03:00:06.638
2025-12-31,000059,001,权益基金,001003,被动指数型基金,2026-03-23 03:00:06.638
2025-12-31,000061,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000063,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000064,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000065,002,固收加基金,002004,灵活配置型基金,2026-03-23 03:00:06.638
2025-12-31,000066,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000067,002,固收加基金,002001,可转债基金,2026-03-23 03:00:06.638
2025-12-31,000068,002,固收加基金,002001,可转债基金,2026-03-23 03:00:06.638
2025-12-31,000069,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000070,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000072,002,固收加基金,002004,灵活配置型基金,2026-03-23 03:00:06.638
2025-12-31,000073,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000074,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000077,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000078,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000079,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000080,002,固收加基金,002001,可转债基金,2026-03-23 03:00:06.638
2025-12-31,000081,002,固收加基金,002001,可转债基金,2026-03-23 03:00:06.638
2025-12-31,000082,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000083,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000084,003,债券型基金,003001,短期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000085,003,债券型基金,003001,短期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000086,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000089,003,债券型基金,003001,短期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000090,003,债券型基金,003001,短期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000104,003,债券型基金,003004,债券增强型基金,2026-03-23 03:00:06.638
2025-12-31,000105,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000106,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000107,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000109,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000110,004,混合型基金,004003,偏债混合型基金,2026-03-23 03:00:06.638
2025-12-31,000111,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000112,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000116,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000117,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000118,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000119,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000120,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000121,002,固收加基金,002003,偏债混合型基金,2026-03-23 03:00:06.638
2025-12-31,000122,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000123,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000124,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000126,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000127,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000128,003,债券型基金,003001,短期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000129,003,债券型基金,003001,短期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000130,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000131,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000134,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000135,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000136,004,混合型基金,004004,灵活配置型基金,2026-03-23 03:00:06.638
2025-12-31,000137,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-09-30,000001,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:08.629
2025-09-30,000003,002,固收加基金,002001,可转债基金,2025-11-25 18:28:08.629
2025-09-30,000004,002,固收加基金,002001,可转债基金,2025-11-25 18:28:12.612
2025-09-30,000005,003,债券型基金,003004,债券增强型基金,2025-11-25 18:28:12.612
2025-09-30,000006,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:12.612
2025-09-30,000008,001,权益基金,001003,被动指数型基金,2025-11-25 18:28:08.629
2025-09-30,000009,008,货币型基金,008001,传统货币型基金,2025-11-25 18:28:08.629
2025-09-30,000010,008,货币型基金,008001,传统货币型基金,2025-11-25 18:28:08.629
2025-09-30,000011,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:10.844
2025-09-30,000013,008,货币型基金,008001,传统货币型基金,2025-11-25 18:28:08.629
2025-09-30,000014,002,固收加基金,002001,可转债基金,2025-11-25 18:28:10.844
2025-09-30,000015,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:10.844
2025-09-30,000016,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:10.844
2025-09-30,000017,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:10.844
2025-09-30,000020,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:08.629
2025-09-30,000021,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:10.844
2025-09-30,000024,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:08.629
2025-09-30,000025,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:12.612
2025-09-30,000028,002,固收加基金,002001,可转债基金,2025-11-25 18:28:08.629
2025-09-30,000029,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:08.629
2025-09-30,000030,004,混合型基金,004004,灵活配置型基金,2025-11-25 18:28:12.612
2025-09-30,000031,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:10.844
2025-09-30,000032,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:10.844
2025-09-30,000033,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:12.612
2025-09-30,000037,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:10.844
2025-09-30,000039,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:10.844
2025-09-30,000042,001,权益基金,001002,指数增强型基金,2025-11-25 18:28:10.844
2025-09-30,000045,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:10.844
2025-09-30,000046,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:08.629
2025-09-30,000047,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:12.612
2025-09-30,000048,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:10.844
2025-09-30,000051,001,权益基金,001003,被动指数型基金,2025-11-25 18:28:12.612
2025-09-30,000053,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:10.844
2025-09-30,000054,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:08.629
2025-09-30,000056,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:10.844
2025-09-30,000057,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:08.629
2025-09-30,000058,002,固收加基金,002004,灵活配置型基金,2025-11-25 18:28:08.629
2025-09-30,000059,001,权益基金,001003,被动指数型基金,2025-11-25 18:28:12.612
2025-09-30,000061,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:08.629
2025-09-30,000063,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:08.629
2025-09-30,000064,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:10.844
2025-09-30,000065,002,固收加基金,002004,灵活配置型基金,2025-11-25 18:28:08.629
2025-09-30,000066,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:12.612
2025-09-30,000067,002,固收加基金,002001,可转债基金,2025-11-25 18:28:12.612
2025-09-30,000068,002,固收加基金,002001,可转债基金,2025-11-25 18:28:08.629
2025-09-30,000069,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:08.629
2025-09-30,000070,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:10.844
2025-09-30,000072,002,固收加基金,002004,灵活配置型基金,2025-11-25 18:28:12.612
2025-09-30,000073,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:10.844
2025-09-30,000074,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:10.844
2025-09-30,000077,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:10.844
2025-09-30,000078,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:12.612
2025-09-30,000079,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:10.844
2025-09-30,000080,002,固收加基金,002001,可转债基金,2025-11-25 18:28:08.629
2025-09-30,000081,002,固收加基金,002001,可转债基金,2025-11-25 18:28:10.844
2025-09-30,000082,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:08.629
2025-09-30,000083,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:08.629
2025-09-30,000084,003,债券型基金,003001,短期纯债型基金,2025-11-25 18:28:10.844
2025-09-30,000085,003,债券型基金,003001,短期纯债型基金,2025-11-25 18:28:08.629
2025-09-30,000086,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:10.844
2025-09-30,000089,003,债券型基金,003001,短期纯债型基金,2025-11-25 18:28:10.844
2025-09-30,000090,003,债券型基金,003001,短期纯债型基金,2025-11-25 18:28:08.629
2025-09-30,000104,003,债券型基金,003004,债券增强型基金,2025-11-25 18:28:10.844
2025-09-30,000105,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:10.844
2025-09-30,000106,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:08.629
2025-09-30,000107,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:10.844
2025-09-30,000109,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:10.844
2025-09-30,000110,004,混合型基金,004003,偏债混合型基金,2025-11-25 18:28:08.629
2025-09-30,000111,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:10.844
2025-09-30,000112,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:08.629
2025-09-30,000116,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:12.612
2025-09-30,000117,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:12.612
2025-09-30,000118,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:08.629
2025-09-30,000119,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:10.844
2025-09-30,000120,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:08.629
2025-09-30,000121,002,固收加基金,002003,偏债混合型基金,2025-11-25 18:28:08.629
2025-09-30,000122,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:12.612
2025-09-30,000123,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:08.629
2025-09-30,000124,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:08.629
2025-09-30,000126,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:08.629
2025-09-30,000127,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:10.844
2025-09-30,000128,003,债券型基金,003001,短期纯债型基金,2025-11-25 18:28:08.629
2025-09-30,000129,003,债券型基金,003001,短期纯债型基金,2025-11-25 18:28:12.612
2025-09-30,000130,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:08.629
2025-09-30,000131,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:08.629
2025-09-30,000134,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:10.844
2025-09-30,000135,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:12.612
2025-09-30,000136,004,混合型基金,004004,灵活配置型基金,2025-11-25 18:28:08.629
2025-09-30,000137,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:10.844
2025-06-30,000001,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:56.395
2025-06-30,000003,002,固收加基金,002001,可转债基金,2025-11-25 18:27:58.722
2025-06-30,000004,002,固收加基金,002001,可转债基金,2025-11-25 18:27:58.722
2025-06-30,000005,003,债券型基金,003004,债券增强型基金,2025-11-25 18:27:58.722
2025-06-30,000006,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:00.195
2025-06-30,000008,001,权益基金,001003,被动指数型基金,2025-11-25 18:27:58.722
2025-06-30,000009,008,货币型基金,008001,传统货币型基金,2025-11-25 18:27:56.395
2025-06-30,000010,008,货币型基金,008001,传统货币型基金,2025-11-25 18:27:58.722
2025-06-30,000011,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:56.395
2025-06-30,000013,008,货币型基金,008001,传统货币型基金,2025-11-25 18:27:58.722
2025-06-30,000014,002,固收加基金,002001,可转债基金,2025-11-25 18:27:56.395
2025-06-30,000015,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:56.395
2025-06-30,000016,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:56.395
2025-06-30,000017,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:56.395
2025-06-30,000020,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:00.195
2025-06-30,000021,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:56.395
2025-06-30,000024,002,固收加基金,002002,混合债券型基金,2025-11-25 18:27:58.722
2025-06-30,000025,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:00.195
2025-06-30,000028,002,固收加基金,002001,可转债基金,2025-11-25 18:28:00.195
2025-06-30,000029,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:00.195
2025-06-30,000030,004,混合型基金,004004,灵活配置型基金,2025-11-25 18:27:58.722
2025-06-30,000031,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:56.395
2025-06-30,000032,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:58.722
2025-06-30,000033,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:58.722
2025-06-30,000037,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:56.395
2025-06-30,000039,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:58.722
2025-06-30,000042,001,权益基金,001002,指数增强型基金,2025-11-25 18:27:56.395
2025-06-30,000045,002,固收加基金,002002,混合债券型基金,2025-11-25 18:27:56.395
2025-06-30,000046,002,固收加基金,002002,混合债券型基金,2025-11-25 18:27:58.722
2025-06-30,000047,002,固收加基金,002002,混合债券型基金,2025-11-25 18:27:58.722
2025-06-30,000048,002,固收加基金,002002,混合债券型基金,2025-11-25 18:27:56.395
2025-06-30,000051,001,权益基金,001003,被动指数型基金,2025-11-25 18:28:00.195
2025-06-30,000053,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:58.722
2025-06-30,000054,002,固收加基金,002002,混合债券型基金,2025-11-25 18:27:56.395
2025-06-30,000056,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:56.395
2025-06-30,000057,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:56.395
2025-06-30,000058,002,固收加基金,002004,灵活配置型基金,2025-11-25 18:27:58.722
2025-06-30,000059,001,权益基金,001003,被动指数型基金,2025-11-25 18:27:58.722
2025-06-30,000061,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:56.395
2025-06-30,000063,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:56.395
2025-06-30,000064,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:56.395
2025-06-30,000065,002,固收加基金,002004,灵活配置型基金,2025-11-25 18:27:58.722
2025-06-30,000066,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:58.722
2025-06-30,000067,002,固收加基金,002001,可转债基金,2025-11-25 18:28:00.195
2025-06-30,000068,002,固收加基金,002001,可转债基金,2025-11-25 18:27:58.722
2025-06-30,000069,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:00.195
2025-06-30,000070,002,固收加基金,002002,混合债券型基金,2025-11-25 18:27:56.395
2025-06-30,000072,002,固收加基金,002004,灵活配置型基金,2025-11-25 18:28:00.195
2025-06-30,000073,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:58.722
2025-06-30,000074,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:56.395
2025-06-30,000077,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:56.395
2025-06-30,000078,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:00.195
2025-06-30,000079,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:56.395
2025-06-30,000080,002,固收加基金,002001,可转债基金,2025-11-25 18:28:00.195
2025-06-30,000081,002,固收加基金,002001,可转债基金,2025-11-25 18:27:56.395
2025-06-30,000082,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:56.395
2025-06-30,000083,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:58.722
2025-06-30,000084,003,债券型基金,003001,短期纯债型基金,2025-11-25 18:27:56.395
2025-06-30,000085,003,债券型基金,003001,短期纯债型基金,2025-11-25 18:27:58.722
2025-06-30,000086,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:58.722
2025-06-30,000089,003,债券型基金,003001,短期纯债型基金,2025-11-25 18:27:56.395
2025-06-30,000090,003,债券型基金,003001,短期纯债型基金,2025-11-25 18:27:58.722
2025-06-30,000104,003,债券型基金,003004,债券增强型基金,2025-11-25 18:27:56.395
2025-06-30,000105,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:56.395
2025-06-30,000106,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:58.722
2025-06-30,000107,002,固收加基金,002002,混合债券型基金,2025-11-25 18:27:56.395
2025-06-30,000109,002,固收加基金,002002,混合债券型基金,2025-11-25 18:27:56.395
2025-06-30,000110,004,混合型基金,004003,偏债混合型基金,2025-11-25 18:27:58.722
2025-06-30,000111,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:56.395
2025-06-30,000112,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:56.395
2025-06-30,000116,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:58.722
2025-06-30,000117,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:00.195
2025-06-30,000118,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:00.195
2025-06-30,000119,002,固收加基金,002002,混合债券型基金,2025-11-25 18:27:56.395
2025-06-30,000120,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:58.722
2025-06-30,000121,002,固收加基金,002003,偏债混合型基金,2025-11-25 18:27:58.722
2025-06-30,000122,002,固收加基金,002001,可转债基金,2025-11-25 18:28:00.195
2025-06-30,000123,002,固收加基金,002001,可转债基金,2025-11-25 18:27:58.722
2025-06-30,000124,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:00.195
2025-06-30,000126,001,权益基金,001001,主动权益型基金,2025-11-25 18:28:00.195
2025-06-30,000127,001,权益基金,001001,主动权益型基金,2025-11-25 18:27:56.395
2025-06-30,000128,003,债券型基金,003001,短期纯债型基金,2025-11-25 18:27:58.722
2025-06-30,000129,003,债券型基金,003001,短期纯债型基金,2025-11-25 18:27:58.722
2025-06-30,000130,002,固收加基金,002002,混合债券型基金,2025-11-25 18:28:00.195
2025-06-30,000131,002,固收加基金,002002,混合债券型基金,2025-11-25 18:27:56.395
2025-06-30,000134,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:56.395
2025-06-30,000135,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:28:00.195
2025-06-30,000136,004,混合型基金,004004,灵活配置型基金,2025-11-25 18:27:58.722
2025-06-30,000137,003,债券型基金,003002,中长期纯债型基金,2025-11-25 18:27:58.722
2025-12-31,000138,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000139,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000141,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000142,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000143,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000147,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000148,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000149,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000150,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000152,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000153,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
2025-12-31,000165,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000166,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000167,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000171,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000172,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000173,001,权益基金,001001,主动权益型基金,2026-03-23 03:00:06.638
2025-12-31,000174,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000175,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000176,001,权益基金,001002,指数增强型基金,2026-03-23 03:00:06.638
2025-12-31,000181,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000182,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000183,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000184,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000185,002,固收加基金,002002,混合债券型基金,2026-03-23 03:00:06.638
2025-12-31,000186,003,债券型基金,003002,中长期纯债型基金,2026-03-23 03:00:06.638
