c_report_date,c_fd_code,c_stk_pos_avg,c_stk_pos_chg_avg,c_stk_pos_level,c_stk_timing,c_updatetime
2025-12-31,000001,73.851300,4.931400,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000001,72.345000,5.104300,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000001,72.592500,6.128600,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000006,86.856300,2.868600,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000006,87.660000,2.711400,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000006,88.878800,2.724300,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000011,86.577500,4.018600,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000011,86.653800,4.212900,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000011,87.183800,4.684300,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000017,88.686300,3.274300,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000017,87.730000,2.455700,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000017,88.260000,3.114300,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000020,86.511300,2.590000,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000020,86.461300,2.562900,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000020,86.367500,2.632900,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000021,89.482500,1.715700,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000021,89.298800,1.555700,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000021,89.170000,1.594300,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000029,74.933800,15.731400,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000029,75.473800,20.160000,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000029,76.341300,20.187100,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000030,74.872500,15.381400,中高仓位,择时,2026-02-25 18:15:19.294
2025-12-31,000031,85.642500,5.988600,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000031,86.590000,6.145700,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000031,87.598800,6.004300,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000039,84.493800,3.278600,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000039,85.122500,3.797100,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000039,85.215000,3.794300,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000056,84.196300,5.538600,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000056,86.167500,3.335700,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000056,85.513800,3.841400,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000057,89.693800,2.077100,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000057,89.606300,2.108600,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000057,89.465000,1.362900,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000061,90.998800,2.165700,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000061,90.753800,2.641400,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000061,90.731300,2.777100,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000063,75.587500,7.618600,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000063,68.517500,8.110000,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000063,60.448800,9.090000,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000066,88.318800,5.861400,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000066,87.813800,5.674300,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000066,87.508800,5.415700,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000073,88.186300,2.784300,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000073,87.895000,3.590000,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000073,87.656300,3.304300,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000082,90.418800,2.424300,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000082,90.156300,2.512900,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000082,89.870000,2.604300,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000083,91.077500,2.240000,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000083,91.043800,2.392900,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000083,90.796300,2.281400,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000117,88.307500,3.602900,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000117,88.083800,3.085700,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000117,87.280000,3.134300,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000120,78.505000,9.527100,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000120,77.250000,8.820000,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000120,76.282500,8.310000,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000124,89.531300,3.671400,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000124,89.533800,4.278600,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000124,89.716300,4.145700,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000126,90.421300,3.002900,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000126,91.078800,3.250000,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000126,90.833800,2.978600,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000127,78.207500,4.812900,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000127,77.271300,5.060000,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000127,76.138800,4.532900,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000165,76.572500,9.575700,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000165,74.653800,11.461400,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000165,73.036300,11.774300,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000166,90.372500,4.124300,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000166,90.296300,4.068600,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000166,89.306300,4.670000,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000167,85.890000,4.657100,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000167,87.158800,4.951400,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000167,88.727500,4.305700,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000172,91.848800,2.158600,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000172,92.077500,2.025700,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000172,92.212500,2.040000,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000173,90.681300,2.230000,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000173,90.436300,2.222900,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000173,90.362500,1.784300,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000195,68.781300,6.334300,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000195,66.413800,6.902900,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000195,64.027500,5.241400,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000196,68.781300,6.334300,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000196,66.413800,6.902900,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000196,64.027500,5.241400,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000199,89.023800,3.882900,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000199,89.073800,4.578600,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000199,89.385000,3.545700,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000209,85.596300,12.028600,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000209,85.112500,11.597100,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000209,86.757500,11.890000,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000214,91.490000,4.625700,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000214,89.783800,5.551400,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000214,85.398800,7.992900,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000219,58.576300,12.300000,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000219,59.213800,19.628600,中高仓位,择时,2026-02-26 09:27:32.215
2025-12-31,000220,90.210000,2.181400,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000220,90.903800,1.852900,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000220,91.350000,1.324300,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000241,68.481300,13.008600,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000241,67.818800,13.538600,中高仓位,择时,2026-02-26 09:27:32.215
2025-12-31,000242,90.456300,2.895700,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000242,90.548800,2.651400,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000242,90.781300,2.130000,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000251,92.233800,1.388600,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000251,92.886300,0.774300,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000251,92.777500,0.810000,高仓位,不择时,2026-02-26 09:27:15.134
2025-09-30,000259,71.712500,5.901400,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000259,73.995000,5.067100,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000263,83.951300,2.882900,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000263,83.903800,3.530000,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000263,83.460000,2.604300,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000270,87.010000,2.981400,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000270,87.045000,3.667100,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000270,87.591300,3.134300,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000273,72.805000,15.377100,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000273,69.710000,24.152900,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000273,66.692500,24.375700,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000279,71.095000,2.332900,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000279,71.301300,2.427100,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000279,70.808800,3.257100,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000294,86.405000,4.130000,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000294,86.386300,4.044300,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000294,86.542500,3.162900,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000308,85.782500,7.891400,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000308,84.740000,4.775700,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000308,87.366300,3.307100,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000309,92.522500,1.001400,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000309,92.456300,1.288600,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000309,92.812500,1.610000,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000314,90.567500,2.960000,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000314,88.135000,3.827100,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000314,82.691300,7.018600,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000326,90.738800,2.317100,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000326,90.646300,2.620000,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000326,90.748800,2.581400,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000327,91.871300,1.165700,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000327,92.380000,1.661400,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000327,92.651300,1.442900,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000328,87.925000,3.642900,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000328,85.930000,5.382900,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000328,85.388800,6.112900,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000336,82.447500,2.800000,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000336,82.671300,3.211400,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000336,82.152500,3.040000,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000339,83.040000,7.591400,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000339,84.745000,5.441400,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000339,85.013800,4.500000,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000354,93.548800,1.457100,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000354,91.573800,3.707100,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000354,91.137500,5.612900,高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000362,90.757500,3.644300,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000362,91.170000,3.782900,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000362,91.763800,3.087100,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000363,90.757500,3.644300,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000363,91.170000,3.782900,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000363,91.763800,3.087100,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000390,87.032500,2.130000,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000390,86.285000,2.264300,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000390,86.592500,2.647100,中高仓位,不择时,2026-02-26 09:27:15.134
